ID,priceTotal,pricePolicy,priceIPT,priceNet
429,338.72,338.72,28.69,192.74
429,430.83,430.83,36.49,241.47
429,566.05,566.05,47.94,315.53
429,685.08,685.08,58.03,380.74
429,812.46,812.46,68.82,455.01
452,134.72,134.72,11.41,77.99
453,169.91,169.91,14.39,98.50
454,188.13,188.13,15.94,106.47
455,207.77,207.77,17.60,117.06
456,330.22,330.22,27.97,186.13
457,366.9,366.9,31.08,206.80
458,385.24,385.24,32.63,217.14
459,400.18,400.18,33.90,227.48
460,509.07,509.07,43.12,285.10
461,668.89,668.89,56.65,372.63
462,809.56,809.56,68.57,449.70
463,960.13,960.13,81.32,537.48
702,155.37,155.37,13.16,89.76
703,195.98,195.98,16.60,113.43
704,217.01,217.01,18.38,122.60
705,239.63,239.63,20.30,134.85
706,381.21,381.21,32.29,214.54
707,423.56,423.56,35.88,238.38
708,444.76,444.76,37.67,250.31
709,461.65,461.65,39.10,262.22
710,587.32,587.32,49.75,328.73
1082,198.85,198.85,16.84,125.08
1097,265.51,265.51,22.49,158.21
1112,294.59,294.59,24.95,171.04
1127,339.45,339.45,28.75,200.72
1128,504.8,504.8,42.76,298.47
1129,560.88,560.88,47.51,331.63
1130,588.92,588.92,49.88,348.21
1187,561.91,561.91,47.59,364.79
1202,681.68,681.68,57.74,458.11
1083,208.21,208.21,17.64,125.08
1098,271.13,271.13,22.96,158.21
1113,339.62,339.62,28.77,196.08
1131,384.07,384.07,32.53,224.41
1132,513.28,513.28,43.47,299.82
1133,570.31,570.31,48.31,333.13
1134,598.82,598.82,50.72,349.78
1188,599.99,599.99,50.82,366.45
1203,711.87,711.87,60.30,459.61
1084,211.05,211.05,17.88,125.08
1099,273,273,23.12,158.21
1114,365.93,365.93,30.99,221.13
1135,429.72,429.72,36.40,250.71
1136,540.73,540.73,45.80,315.59
1137,600.84,600.84,50.89,350.67
1138,630.86,630.86,53.43,368.20
1189,633.48,633.48,53.66,385.73
1204,738.24,738.24,62.53,459.61
1085,212.92,212.92,18.03,125.08
1100,308.23,308.23,26.11,181.83
1115,388.42,388.42,32.90,231.92
1139,428.75,428.75,36.32,264.48
1140,396.67,396.67,33.60,238.04
1141,383.19,383.19,32.46,264.48
1142,462.78,462.78,39.20,277.70
1190,668.7,668.7,56.64,399.51
1205,758.83,758.83,64.27,459.61
1086,214.79,214.79,18.19,125.08
1101,330.75,330.75,28.01,194.35
1116,423.94,423.94,35.91,251.96
1143,458.11,458.11,38.80,277.01
1144,555.19,555.19,47.02,335.66
1145,616.88,616.88,52.25,372.96
1146,647.71,647.71,54.86,391.60
1191,681.83,681.83,57.75,410.25
1206,794.43,794.43,67.29,459.61
485,78.25,78.25,6.63,48.31
486,104.5,104.5,8.85,58.38
487,108.7,108.7,9.21,60.64
488,115.62,115.62,9.79,64.37
489,147.36,147.36,12.48,82.04
490,170.62,170.62,14.45,94.99
491,193.9,193.9,16.42,107.95
492,204.21,204.21,17.30,125.22
493,226.6,226.6,19.19,138.08
494,276.94,276.94,23.46,154.11
495,367.53,367.53,31.13,213.82
496,454.43,454.43,38.49,286.00
497,525.97,525.97,44.55,333.38
498,598.33,598.33,50.68,388.11
499,707.02,707.02,59.88,447.29
500,778.03,778.03,65.90,494.68
501,845.67,845.67,71.63,540.46
502,884.77,884.77,74.94,578.23
503,975.73,975.73,82.64,635.76
504,1,072.49,1,072.49,90.84,698.98
505,1,177.29,1,177.29,99.72,768.58
583,103.48,103.48,8.76,62.34
129,435.72,435.72,7.01,48.59
130,457.88,457.88,8.84,61.21
131,707.84,707.84,9.78,66.10
132,939.68,939.68,10.80,72.61
133,342.75,342.75,17.80,119.65
134,404.81,404.81,19.01,127.83
135,462.56,462.56,20.44,137.43
136,489.35,489.35,21.12,143.81
137,593.74,593.74,26.44,176.02
138,659.71,659.71,34.74,229.87
139,709.18,709.18,42.04,277.31
172,752.37,752.37,9.10,62.69
173,757.63,757.63,11.47,79.12
174,1,084.92,1,084.92,12.70,85.46
175,1,426.54,1,426.54,14.03,93.95
176,176.63,176.63,22.27,149.16
177,230.81,230.81,24.75,165.73
178,240.13,240.13,26.60,178.16
179,255.39,255.39,27.44,186.44
180,309.43,309.43,34.36,228.37
181,343.82,343.82,45.15,298.39
182,369.6,369.6,54.64,360.06
344,377.18,377.18,12.71,81.65
345,396.3,396.3,16.27,102.94
346,612.61,612.61,17.72,111.20
347,813.24,813.24,18.83,122.47
348,229.48,229.48,29.91,194.53
349,299.91,299.91,33.24,216.14
350,312.03,312.03,35.73,232.36
351,331.88,331.88,31.79,243.17
352,402.46,402.46,44.74,298.29
353,447.19,447.19,55.82,389.73
354,480.71,480.71,66.26,470.37
922,490.13,490.13,13.30,95.10
923,515.06,515.06,17.38,115.24
924,796.26,796.26,18.08,119.82
925,1,057.08,1,057.08,19.23,127.21
926,409.49,409.49,23.30,154.11
927,469.46,469.46,25.89,171.24
928,504.04,504.04,27.83,184.08
929,575.57,575.57,28.40,192.65
930,698.59,698.59,29.84,195.73
931,776.21,776.21,46.13,306.73
932,834.41,834.41,61.23,426.10
1002,806.55,806.55,17.28,123.17
1003,832.17,832.17,22.58,149.37
1004,1,188.71,1,188.71,23.50,155.31
1005,1,651.90,1,651.90,24.99,164.93
